,county,pop_in_poverty,%_pop_in_poverty,median_income,lower_bound_income,upper_bound_income
235,Walker,12775,23.1,42304,38964,45644
236,Waller,7315,15.5,55224,49946,60502
237,Ward,1711,15.1,53242,48227,58257
238,Washington,4248,12.9,51276,46355,56197
239,Webb,74061,27.3,41979,39501,44457
240,Wharton,6627,16.0,46194,42077,50311
241,Wheeler,769,14.5,45356,41201,49511
242,Wichita,20057,16.8,44593,41478,47708
243,Wilbarger,2031,16.4,40353,35942,44764
244,Willacy,6371,35.0,30392,27486,33298
245,Williamson,32931,6.1,82131,79849,84413
246,Wilson,4414,9.1,70829,65000,76658
247,Winkler,1095,14.7,51965,46347,57583
248,Wise,7211,11.1,60675,55455,65895
249,Wood,6470,15.2,49739,46087,53391
250,Yoakum,1020,12.0,58363,52568,64158
251,Young,2787,15.8,44909,41803,48015
252,Zapata,4282,30.0,32172,28745,35599
253,Zavala,3642,31.6,28867,25817,31917
